Time;Channel A;Channel B
(ms);(V);(V)

12.37266221;0.27619250;-0.02624592
12.41362221;0.27619250;-0.02624592
12.45458221;0.27619250;-0.02624592
12.49554221;0.27619250;-0.02624592
12.53650221;0.27619250;-0.02624592
12.57746221;0.27619250;-0.02624592
12.61842221;0.32029180;-0.02624592
12.65938221;0.32029180;-0.02624592
12.70034221;0.32029180;-0.02624592
12.74130221;0.32029180;-0.02624592
12.78226221;0.32029180;-0.02624592
12.82322221;0.32029180;-0.02624592
12.86418220;0.32029180;-0.02624592
12.90514220;0.32029180;-0.02624592
12.94610220;0.32029180;-0.02624592
12.98706220;0.32029180;-0.02624592
13.02802220;0.32029180;-0.02624592
13.06898220;0.32029180;0.15076140
13.10994220;0.32029180;-0.02624592
13.15090220;0.36439100;-0.02624592
13.19186220;0.36439100;0.15076140
13.23282220;0.32029180;0.15076140
13.27378220;0.36439100;0.15076140
13.31474220;0.36439100;-0.02624592
13.35570220;0.36439100;-0.02624592
13.39666220;0.32029180;-0.02624592
13.43762220;0.36439100;0.15076140
13.47858220;0.36439100;-0.02624592
13.51954220;0.36439100;0.15076140
13.56050220;0.36439100;-0.02624592
13.60146220;0.36439100;-0.02624592
13.64242220;0.36439100;-0.02624592
13.68338220;0.40849020;0.15076140
13.72434220;0.40849020;-0.02624592
13.76530220;0.40849020;0.15076140
13.80626220;0.45258950;-0.02624592
13.84722220;0.40849020;-0.02624592
13.88818220;0.40849020;-0.02624592
13.92914220;0.40849020;0.15076140
13.97010220;0.40849020;-0.02624592
14.01106220;0.45258950;-0.02624592
14.05202220;0.40849020;-0.02624592
14.09298220;0.45258950;-0.02624592
14.13394220;0.45258950;0.15076140
14.17490220;0.45258950;0.15076140
14.21586220;0.45258950;0.15076140
14.25682220;0.45258950;0.15076140
14.29778220;0.45258950;0.15076140
14.33874220;0.49668880;-0.02624592
14.37970220;0.49668880;0.15076140
14.42066220;0.49668880;0.15076140
14.46162220;0.49668880;0.15076140
14.50258219;0.49668880;0.15076140
14.54354219;0.49668880;0.15076140
14.58450219;0.49668880;0.15076140
14.62546219;0.49668880;0.15076140
14.66642219;0.49668880;0.15076140
14.70738219;0.49668880;0.15076140
14.74834219;0.49668880;0.15076140
14.78930219;0.49668880;0.15076140
14.83026219;0.49668880;0.15076140
14.87122219;0.49668880;0.15076140
14.91218219;0.54078800;0.15076140
14.95314219;0.54078800;0.15076140
14.99410219;0.54078800;0.15076140
15.03506219;0.54078800;0.15076140
15.07602219;0.54078800;0.15076140
15.11698219;0.54078800;0.15076140
15.15794219;0.54078800;-0.02624592
15.19890219;0.54078800;0.15076140
15.23986219;0.58488720;0.15076140
15.28082219;0.58488720;0.15076140
15.32178219;0.58488720;0.15076140
15.36274219;0.58488720;-0.02624592
15.40370219;0.58488720;0.15076140
15.44466219;0.58488720;0.15076140
15.48562219;0.58488720;0.15076140
15.52658219;0.58488720;0.15076140
15.56754219;0.58488720;0.15076140
15.60850219;0.58488720;0.15076140
15.64946219;0.62898650;0.15076140
15.69042219;0.58488720;0.15076140
15.73138219;0.62898650;0.15076140
15.77234219;0.62898650;0.15076140
15.81330219;0.62898650;0.15076140
15.85426219;0.62898650;0.15076140
15.89522219;0.62898650;0.15076140
15.93618219;0.62898650;0.15076140
15.97714219;0.62898650;0.15076140
16.01810219;0.62898650;0.15076140
16.05906219;0.67308570;0.15076140
16.10002219;0.62898650;0.15076140
16.14098218;0.67308570;0.15076140
16.18194218;0.67308570;0.15076140
16.22290218;0.67308570;0.15076140
16.26386218;0.67308570;0.15076140
16.30482218;0.67308570;0.15076140
16.34578218;0.67308570;0.15076140
16.38674218;0.67308570;0.15076140
16.42770218;0.67308570;0.15076140
16.46866218;0.67308570;0.15076140
16.50962218;0.67308570;0.15076140
16.55058218;0.67308570;0.15076140
16.59154218;0.67308570;0.15076140
16.63250218;0.67308570;0.15076140
16.67346218;0.71718500;0.15076140
16.71442218;0.67308570;-0.02624592
16.75538218;0.71718500;0.15076140
16.79634218;0.67308570;0.15076140
16.83730218;0.71718500;0.15076140
16.87826218;0.71718500;0.15076140
16.91922218;0.71718500;0.15076140
16.96018218;0.76128420;0.15076140
17.00114218;0.76128420;0.15076140
17.04210218;0.71718500;-0.02624592
17.08306218;0.71718500;0.15076140
17.12402218;0.71718500;0.15076140
17.16498218;0.76128420;0.15076140
17.20594218;0.76128420;0.15076140
17.24690218;0.76128420;0.15076140
17.28786218;0.76128420;0.15076140
17.32882218;0.76128420;0.15076140
17.36978218;0.76128420;0.15076140
17.41074218;0.80538340;-0.02624592
17.45170218;0.80538340;0.15076140
17.49266218;0.76128420;0.15076140
17.53362218;0.80538340;0.15076140
17.57458218;0.80538340;0.15076140
17.61554218;0.80538340;0.15076140
17.65650218;0.80538340;0.15076140
17.69746218;0.80538340;0.15076140
17.73842218;0.80538340;0.15076140
17.77938217;0.80538340;0.15076140
17.82034217;0.80538340;0.15076140
17.86130217;0.80538340;0.15076140
17.90226217;0.80538340;0.15076140
17.94322217;0.84948270;0.15076140
17.98418217;0.80538340;0.15076140
18.02514217;0.84948270;0.15076140
18.06610217;0.84948270;0.15076140
18.10706217;0.84948270;0.15076140
18.14802217;0.84948270;0.15076140
18.18898217;0.84948270;0.15076140
18.22994217;0.84948270;0.15076140
18.27090217;0.84948270;0.15076140
18.31186217;0.84948270;0.15076140
18.35282217;0.84948270;0.15076140
18.39378217;0.84948270;0.15076140
18.43474217;0.89342930;0.15076140
18.47570217;0.89342930;0.32776880
18.51666217;0.89342930;0.15076140
18.55762217;0.89342930;0.32776880
18.59858217;0.89342930;0.32776880
18.63954217;0.84948270;0.32776880
18.68050217;0.89342930;0.32776880
18.72146217;0.89342930;0.15076140
18.76242217;0.89342930;0.32776880
18.80338217;0.89342930;0.32776880
18.84434217;0.93752860;0.32776880
18.88530217;0.93752860;0.32776880
18.92626217;0.93752860;0.32776880
18.96722217;0.93752860;0.32776880
19.00818217;0.93752860;0.32776880
19.04914217;0.93752860;0.32776880
19.09010217;0.93752860;0.32776880
19.13106217;0.93752860;0.32776880
19.17202217;0.93752860;0.32776880
19.21298217;0.98162790;0.32776880
19.25394217;0.93752860;0.32776880
19.29490217;0.98162790;0.32776880
19.33586217;0.93752860;0.32776880
19.37682217;0.98162790;0.32776880
19.41778216;0.98162790;0.32776880
19.45874216;0.98162790;0.32776880
19.49970216;0.98162790;0.32776880
19.54066216;0.98162790;0.32776880
19.58162216;0.98162790;0.32776880
19.62258216;0.98162790;0.32776880
19.66354216;1.02572700;0.32776880
19.70450216;0.98162790;0.32776880
19.74546216;0.98162790;0.32776880
19.78642216;1.02572700;0.32776880
19.82738216;1.02572700;0.32776880
19.86834216;1.02572700;0.32776880
19.90930216;1.02572700;0.32776880
19.95026216;1.02572700;0.32776880
19.99122216;1.02572700;0.32776880
20.03218216;1.02572700;0.32776880
20.07314216;1.02572700;0.32776880
20.11410216;1.02572700;0.32776880
20.15506216;1.02572700;0.32776880
20.19602216;1.02572700;0.32776880
20.23698216;1.02572700;0.32776880
20.27794216;1.02572700;0.32776880
20.31890216;1.02572700;0.32776880
20.35986216;1.02572700;0.32776880
20.40082216;1.06982600;0.32776880
20.44178216;1.06982600;0.32776880
20.48274216;1.06982600;0.15076140
20.52370216;1.06982600;0.32776880
20.56466216;1.06982600;0.32776880
20.60562216;1.06982600;0.32776880
20.64658216;1.06982600;0.32776880
20.68754216;1.11392600;0.32776880
20.72850216;1.11392600;0.32776880
20.76946216;1.11392600;0.32776880
20.81042216;1.11392600;0.32776880
20.85138216;1.11392600;0.15076140
20.89234216;1.11392600;0.32776880
20.93330216;1.15802500;0.32776880
20.97426216;1.15802500;0.32776880
21.01522216;1.11392600;0.32776880
21.05618216;1.11392600;0.32776880
21.09714215;1.15802500;0.15076140
21.13810215;1.11392600;0.15076140
21.17906215;1.15802500;0.15076140
21.22002215;1.15802500;0.32776880
21.26098215;1.15802500;0.32776880
21.30194215;1.15802500;0.32776880
21.34290215;1.15802500;0.15076140
21.38386215;1.15802500;0.15076140
21.42482215;1.15802500;0.32776880
21.46578215;1.15802500;0.15076140
21.50674215;1.15802500;0.15076140
21.54770215;1.15802500;0.15076140
21.58866215;1.15802500;0.32776880
21.62962215;1.20212400;0.15076140
21.67058215;1.20212400;0.15076140
21.71154215;1.20212400;0.15076140
21.75250215;1.20212400;0.15076140
21.79346215;1.20212400;0.15076140
21.83442215;1.20212400;0.15076140
21.87538215;1.20212400;0.15076140
21.91634215;1.20212400;0.32776880
21.95730215;1.20212400;0.32776880
21.99826215;1.24622300;0.15076140
22.03922215;1.24622300;0.15076140
22.08018215;1.20212400;0.15076140
22.12114215;1.20212400;0.15076140
22.16210215;1.24622300;0.15076140
22.20306215;1.20212400;0.15076140
22.24402215;1.24622300;0.15076140
22.28498215;1.29032300;0.15076140
22.32594215;1.24622300;0.15076140
22.36690215;1.24622300;0.15076140
22.40786215;1.24622300;-0.02624592
